pk_resumen,lat,lon,score_final,dias_evaluados,dias_optimos,pct_optimos,mes,score_mensual_promedio,variabilidad_score,confort_pct_mes,desviacion_estacional,aggregated_at
4.299608|-75.899524|2,4.299608,-75.899524,77.81,3643,631,17.32,2,64.84,18.46,55.99,-12.97,2026-04-14 09:57:56.419936-05
4.299608|-75.899524|3,4.299608,-75.899524,77.81,3643,631,17.32,3,64.74,17.04,55.4,-13.07,2026-04-14 09:57:56.419936-05
4.299608|-75.899524|4,4.299608,-75.899524,77.81,3643,631,17.32,4,63.63,16.46,53.15,-14.18,2026-04-14 09:57:56.419936-05
4.299608|-75.899524|5,4.299608,-75.899524,77.81,3643,631,17.32,5,62.83,16.12,51.47,-14.98,2026-04-14 09:57:56.419936-05
4.299608|-75.899524|6,4.299608,-75.899524,77.81,3643,631,17.32,6,63.33,16.33,52.0,-14.48,2026-04-14 09:57:56.419936-05
4.299608|-75.899524|7,4.299608,-75.899524,77.81,3643,631,17.32,7,64.18,18.1,54.56,-13.63,2026-04-14 09:57:56.419936-05
4.299608|-75.899524|8,4.299608,-75.899524,77.81,3643,631,17.32,8,64.38,20.31,56.12,-13.43,2026-04-14 09:57:56.419936-05
4.299608|-75.899524|9,4.299608,-75.899524,77.81,3643,631,17.32,9,65.32,20.08,57.73,-12.49,2026-04-14 09:57:56.419936-05
4.299608|-75.899524|10,4.299608,-75.899524,77.81,3643,631,17.32,10,62.44,17.07,50.36,-15.37,2026-04-14 09:57:56.419936-05
4.299608|-75.899524|11,4.299608,-75.899524,77.81,3643,631,17.32,11,60.46,16.17,44.35,-17.35,2026-04-14 09:57:56.419936-05
4.299608|-75.899524|12,4.299608,-75.899524,77.81,3643,631,17.32,12,61.78,17.07,48.51,-16.03,2026-04-14 09:57:56.419936-05
4.299608|-76.099525|1,4.299608,-76.099525,77.71,3643,720,19.76,1,61.8,18.87,48.82,-15.91,2026-04-14 09:57:56.419936-05
4.299608|-76.099525|2,4.299608,-76.099525,77.71,3643,720,19.76,2,64.84,18.46,55.99,-12.87,2026-04-14 09:57:56.419936-05
4.299608|-76.099525|3,4.299608,-76.099525,77.71,3643,720,19.76,3,64.74,17.04,55.4,-12.97,2026-04-14 09:57:56.419936-05
